Token: 0, Lexema: inteiro, Descrição: Tipo inteiro
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 9, Lexema: mostrar, Descrição: Comando de saída (mostrar)
Token: 25, Lexema: (, Descrição: Parêntese de abertura (()
Token: 11, Lexema: -, Descrição: Operador de subtração (-)
Token: 30, Lexema: 2, Descrição: Número inteiro
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 29, Lexema: i, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 30, Lexema: 1, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 6, Lexema: repita, Descrição: Início de repetição (repita)
Token: 27, Lexema: {, Descrição: Chave de abertura ({)
Token: 29, Lexema: i, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 29, Lexema: i, Descrição: Identificador
Token: 10, Lexema: +, Descrição: Operador de soma (+)
Token: 30, Lexema: 1, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 9, Lexema: mostrar, Descrição: Comando de saída (mostrar)
Token: 25, Lexema: (, Descrição: Parêntese de abertura (()
Token: 29, Lexema: i, Descrição: Identificador
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 29, Lexema: j, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 30, Lexema: 11, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 6, Lexema: repita, Descrição: Início de repetição (repita)
Token: 27, Lexema: {, Descrição: Chave de abertura ({)
Token: 29, Lexema: j, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 29, Lexema: j, Descrição: Identificador
Token: 10, Lexema: +, Descrição: Operador de soma (+)
Token: 30, Lexema: 1, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 9, Lexema: mostrar, Descrição: Comando de saída (mostrar)
Token: 25, Lexema: (, Descrição: Parêntese de abertura (()
Token: 29, Lexema: j, Descrição: Identificador
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 28, Lexema: }, Descrição: Chave de fechamento (})
Token: 7, Lexema: ate, Descrição: Condição de término da repetição (até)
Token: 29, Lexema: j, Descrição: Identificador
Token: 18, Lexema: >, Descrição: Operador de comparação maior que (>)
Token: 30, Lexema: 13, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 28, Lexema: }, Descrição: Chave de fechamento (})
Token: 7, Lexema: ate, Descrição: Condição de término da repetição (até)
Token: 29, Lexema: i, Descrição: Identificador
Token: 20, Lexema: ==, Descrição: Operador de comparação igual a (==)
Token: 30, Lexema: 3, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 9, Lexema: mostrar, Descrição: Comando de saída (mostrar)
Token: 25, Lexema: (, Descrição: Parêntese de abertura (()
Token: 11, Lexema: -, Descrição: Operador de subtração (-)
Token: 30, Lexema: 3, Descrição: Número inteiro
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 32, Lexema: EOF, Descrição: Fim do arquivo
